registration_id,boat_number_official,boat_number_status,boat_number_source_files,boat_number_source_sha256,boat_number_candidate_pdf,boat_number_candidate_match,public_name,technical_name,aliases,class,group,registration_sail_candidate,sail_country_code,sail_number,sail_suffix,sail_display,certificate_type,certificate_source_files,certificate_source_format,certificate_reference,model,rating_type,rating_value,issued_at,valid_until,certificate_status,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6,stage_7,stage_8,conflicts,readiness_status,human_validation_required,human_validation_reasons
E18,14,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,14,SIM,FUNBEL-NACEX,FUNBEL,FUNBEL-NACEX | FUNBEL,ANC,ANC-A,4508,POR,4508,,POR 4508,ANC,FUNBEL-POR_4508(3).pdf,pdf,,Bénéteau First 45,ANC,1.116,2026-04-18,2027-03-31,valid,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,public_name_FUNBEL_NACEX_vs_certificate_FUNBEL,ready_with_documented_conflicts,SIM,public_name_FUNBEL_NACEX_vs_certificate_FUNBEL
E43,32,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,32,SIM,GRAOULLY,GRAOULLY,GRAOULLY,ANC,ANC-A,25678,,25678,,25678,ANC,GRAOULLY-25678(3).pdf,pdf,,Dufour 385,ANC,0.970,2026-04-10,2027-03-31,valid,NÃO,NÃO,NÃO,NÃO,SIM,SIM,SIM,SIM,certificate_has_no_country_prefix,ready_with_documented_conflicts,SIM,certificate_has_no_country_prefix
E01,35,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,35,SIM,Häcker Kitchen,MADMAX,Häcker Kitchen | HÄCKER KITCHEN | MADMAX,ANC,ANC-A,8137,POR,8137,,POR 8137,ANC,Certificado medição ANC_MADMAX-POR_8137(1).pdf,pdf,,Shipman 50,ANC,1.187,2026-07-17,2027-03-31,valid,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,public_name_Hacker_Kitchen_vs_certificate_MADMAX,ready_with_documented_conflicts,SIM,public_name_Hacker_Kitchen_vs_certificate_MADMAX
E13,11,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,11,SIM,IBERO'S,,IBERO'S,ANC,,6468,,,,,ANC,,,,,,,,,missing,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,certificate_missing | registration_control_says_certificate_requested,blocked_missing_certificate,SIM,certificate_missing | certificate_missing | registration_control_says_certificate_requested
E23,33,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,33,SIM,Jotocassy,JOTOCASSY,Jotocassy | JOTOCASSY,ANC,ANC-B,25696,POR,25696,,POR 25696,ANC,JOTOCASSY-POR_25696(3).pdf,pdf,,Bénéteau First 35,ANC,0.950,2026-06-05,2027-03-31,valid,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,,ready,NÃO,
E39,28,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,28,SIM,KAMBA,KAMBA,KAMBA,ANC,ANC-B,37,B,37,,B 37,ANC,KAMBA-B_37 (1)(1).pdf,pdf,,Bavaria 37 Cruiser,ANC,0.966,2026-07-24,2027-03-31,valid,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,,ready,NÃO,
E15,8,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,8,SIM,Knot Work,KNOT WORK,Knot Work | KNOT WORK,ANC,ANC-A,6634,GBR,6634,R,GBR 6634 R,ANC,Abono 30-05-26(1).pdf,pdf,,Elan 340,ANC,0.979,2026-05-30,2027-03-31,valid,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,,ready,NÃO,
E36,15,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,15,SIM,MADRAÇO,MADRAÇO,MADRAÇO | Madraço,ANC,ANC-A,8301,POR,8301,,POR 8301,ANC,Safari(1).pdf,pdf,,Bénéteau First 36.7,ANC,0.996,2026-04-10,2027-03-31,valid,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,,ready,NÃO,
E06,9,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,9,SIM,MAKAI,MAKAI,MAKAI | Makai,ORC,,89,NED,89,,NED 89,ORC,ORC Certificate for MAKAI(4).pdf,pdf,03530004UOQ,M34,APH_ToT,1.1881,2026-07-03,2027-01-31,valid,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,certificate_data_file_NED69C_differs_from_header_NED89_review_as_technical_identifier,ready_with_documented_conflicts,SIM,certificate_data_file_NED69C_differs_from_header_NED89_review_as_technical_identifier
E25,22,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,22,SIM,Mar de Levante,MAR DE LEVANTE,Mar de Levante | MAR DE LEVANTE,ANC,ANC-A,5034,DEN,5034,,DEN 5034,ANC,MAR_DE_LEVANTE-DEN_5034(3).pdf,pdf,,Grand Soleil 40 R,ANC,1.057,2026-04-10,2027-03-31,valid,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,,ready,NÃO,
E10,13,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,13,SIM,Mar Me Quer,MAR ME QUER,Mar Me Quer | MAR ME QUER,ANC,ANC-B,25698,,25698,,25698,ANC,Abono ANC - MAR_ME_QUER-25698(1).pdf,pdf,,Dufour 360 GL,ANC,0.919,2026-06-05,2027-03-31,valid,SIM,SIM,SIM,SIM,SIM,SIM,SIM,NÃO,certificate_has_no_country_prefix,ready_with_documented_conflicts,SIM,certificate_has_no_country_prefix
E14,5,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,5,SIM,MAR MEU,MAR MEU,MAR MEU | Mar Meu,ORC,,2018,POR,2018,,POR 2018,ORC,MAR MEU - ORC(4).pdf,pdf_page_images,03530004UOO,POGO 30,APH_ToT,1.1167,2026-07-03,2027-01-31,valid,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,,ready,NÃO,
E24,25,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,25,SIM,Papa Léguas II,PAPA LEGUAS II,Papa Léguas II | PAPA LEGUAS II,ORC,,1312,POR,1312,,POR 1312,ORC,ORC Certificate for PAPA LEGUAS II (1)(1).pdf,pdf,03530004I62,SIGMA 38,APH_ToT,1.0580,2026-03-18,2027-01-31,valid,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,,ready,NÃO,
E17,12,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,12,SIM,PEDE MAR/guronsan,PEDE MAR,PEDE MAR/guronsan | PEDE MAR/GURONSAN | PEDE MAR,ANC,ANC-A,1234,GBR,1234,X,GBR 1234 X,ANC,PEDE_MAR-GBR_1234_X(3).pdf,pdf,,Grand Soleil 43,ANC,1.097,2026-04-10,2027-03-31,valid,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,public_sponsored_name_vs_certificate_PEDE_MAR,ready_with_documented_conflicts,SIM,public_sponsored_name_vs_certificate_PEDE_MAR
E34,24,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,24,SIM,Playtime,PLAYTIME,Playtime | PLAYTIME,ANC,ANC-A,15446,ITA,15446,,ITA 15446,ANC,PLAYTIME-ITA_15446_260721_224259(1).pdf,pdf,,X Yachts 46,ANC,1.174,2026-04-10,2027-03-31,valid,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,,ready,NÃO,
E28,3,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,3,SIM,Pocket Rocket,POCKET ROCKET,Pocket Rocket | POCKET ROCKET,ORC,,7777,GBR,7777,,GBR 7777,ORC,ORC Certificate for POCKET ROCKET(1).pdf,pdf,03530004VLP,J/109,APH_ToT,1.1121,2026-07-24,2027-01-31,valid,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,historical_result_documents_contain_other_identifier_but_are_excluded,ready_with_documented_conflicts,SIM,historical_result_documents_contain_other_identifier_but_are_excluded
E12,4,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,4,SIM,SENSIA,SENSIA,SENSIA | Sensia,ANC,ANC-A,8138,POR,8138,,POR 8138,ANC,RatingSENSIA-POR_8138-3(1).pdf,pdf,,Dufour 34,ANC,0.983,2026-04-10,2027-03-31,valid,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,,ready,NÃO,
E26,7,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,7,SIM,Sete Estrelo,SETE ESTRELO,Sete Estrelo | SETE ESTRELO,ANC,ANC-A,1435,POR,1435,,POR 1435,ANC,PDF(1).pdf,pdf,,Bénéteau First 33.7,ANC,0.975,2026-04-10,2027-03-31,valid,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,generic_source_filename_PDF_1_should_be_renamed,ready_with_documented_conflicts,SIM,generic_source_filename_PDF_1_should_be_renamed
E44,34,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,34,SIM,Veritas,VERITAS,Veritas | VERITAS,ANC,ANC-B,7112,ESP,9161,,ESP 9161,ANC,VERITAS-ESP_9161 Abono ANC 2026(3).pdf,pdf,,Dehler 34,ANC,0.949,2026-06-27,2027-03-31,valid,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,registration_sail_7112_vs_certificate_ESP_9161,ready_with_documented_conflicts,SIM,registration_sail_7112_vs_certificate_ESP_9161
E11,27,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,27,SIM,YEMAYA,YEMAYA,YEMAYA | Yemaya,ORC,,8558,POR,8556,,POR 8556,ORC,ORC Certificate for YEMAYA 2026(2).pdf,pdf,03530004VJQ,FIRST 40.7,APH_ToT,1.1307,2026-07-22,2027-01-31,valid,SIM,SIM,SIM,SIM,SIM,SIM,SIM,NÃO,registration_sail_8558_vs_certificate_POR_8556,ready_with_documented_conflicts,SIM,registration_sail_8558_vs_certificate_POR_8556
